region	chr	midPos	Nsites
(655,696)(92634,92685)(50000,100000)	JASDQU010105621.1	75000	43	-0.016770
(12,143)(100410,100564)(100000,150000)	JASDQU010105639.1	125000	133	0.527455
(336,994)(71400,72065)(50000,100000)	JASDQU010105649.1	75000	660	0.565970
(995,3326)(179500,181847)(150000,200000)	JASDQU010105649.1	175000	2333	0.504057
(868,2545)(67982,70086)(50000,100000)	JASDQU010105660.1	75000	1679	0.315386
(2320,2744)(154363,193140)(150000,200000)	JASDQU010105692.1	175000	426	0.032648
(329,460)(201886,202201)(200000,250000)	JASDQU010105693.1	225000	133	0.022973
(723,844)(255017,255142)(250000,300000)	JASDQU010105718.1	275000	123	0.343076
(399,577)(116996,117175)(100000,150000)	JASDQU010105722.1	125000	180	0.069846
(176,309)(235483,235622)(200000,250000)	JASDQU010105732.1	225000	135	0.097470
(442,1313)(68164,69043)(50000,100000)	JASDQU010105754.1	75000	873	0.237623
(1314,1819)(259206,288698)(250000,300000)	JASDQU010105754.1	275000	507	0.050610
(1820,2918)(324644,337493)(300000,350000)	JASDQU010105754.1	325000	1100	0.043912
(4,1012)(100002,129760)(100000,150000)	JASDQU010105763.1	125000	1010	0.084832
(1414,2044)(152737,177287)(150000,200000)	JASDQU010105776.1	175000	632	0.033554
(33,380)(139891,140327)(100000,150000)	JASDQU010105783.1	125000	349	0.178014
(3236,3603)(78358,78753)(50000,100000)	JASDQU010105796.1	75000	369	0.292583
(747,1628)(73696,96604)(50000,100000)	JASDQU010105803.1	75000	883	0.037463
(1194,3041)(132127,134009)(100000,150000)	JASDQU010105827.1	125000	1849	0.502018
(83,695)(234198,234889)(200000,250000)	JASDQU010105843.1	225000	614	0.050724
(619,862)(156834,157248)(150000,200000)	JASDQU010105844.1	175000	245	0.042157
(45,1456)(52975,56746)(50000,100000)	JASDQU010105853.1	75000	1413	0.029396
(546,3788)(175745,179712)(150000,200000)	JASDQU010105857.1	175000	3244	0.414918
(581,1025)(59981,60632)(50000,100000)	JASDQU010105888.1	75000	446	0.029390
(855,2052)(300242,301458)(300000,350000)	JASDQU010105909.1	325000	1199	0.177631
(6,489)(201325,201918)(200000,250000)	JASDQU010105938.1	225000	485	0.582142
(47,2345)(122010,137237)(100000,150000)	JASDQU010105956.1	125000	2300	0.539601
(979,1809)(71772,72606)(50000,100000)	JASDQU010105997.1	75000	832	0.340918
(1810,2065)(112990,113255)(100000,150000)	JASDQU010105997.1	125000	257	0.004776
(203,416)(193364,193770)(150000,200000)	JASDQU010106001.1	175000	215	0.047513
(417,700)(247253,247583)(200000,250000)	JASDQU010106001.1	225000	285	0.011729
(92,227)(127249,127400)(100000,150000)	JASDQU010106006.1	125000	137	0.074482
(228,804)(232516,233095)(200000,250000)	JASDQU010106006.1	225000	578	0.017290
(805,1303)(298381,299999)(250000,300000)	JASDQU010106006.1	275000	500	0.319271
(963,1132)(82701,83151)(50000,100000)	JASDQU010106011.1	75000	171	0.130917
(335,599)(134012,134334)(100000,150000)	JASDQU010106054.1	125000	266	0.027908
(217,314)(87632,87750)(50000,100000)	JASDQU010106062.1	75000	99	0.096387
(2981,3708)(67691,68831)(50000,100000)	JASDQU010106083.1	75000	729	0.125745
(1316,1683)(77621,78060)(50000,100000)	JASDQU010106093.1	75000	369	0.657443
(417,1408)(60089,64789)(50000,100000)	JASDQU010106116.1	75000	993	0.388488
(544,682)(101089,101227)(100000,150000)	JASDQU010106170.1	125000	140	0.040993
(618,747)(54206,54338)(50000,100000)	JASDQU010106214.1	75000	131	0.056539
(1325,2752)(105584,134974)(100000,150000)	JASDQU010106217.1	125000	1429	0.287428
(851,952)(177189,177303)(150000,200000)	JASDQU010106235.1	175000	103	0.072555
(135,3072)(59371,83596)(50000,100000)	JASDQU010106237.1	75000	2939	0.308618
(1830,2591)(137275,138080)(100000,150000)	JASDQU010106277.1	125000	763	0.422158
(1067,1167)(121599,121718)(100000,150000)	JASDQU010106348.1	125000	102	0.077199
(537,2030)(91411,92918)(50000,100000)	JASDQU010106355.1	75000	1495	0.097270
(1236,3460)(96675,98921)(50000,100000)	JASDQU010106386.1	75000	2226	0.309916
(391,1015)(133377,134011)(100000,150000)	JASDQU010106459.1	125000	626	0.229784
(602,622)(99976,99999)(50000,100000)	JASDQU010106462.1	75000	22	0.031437
(311,597)(78731,79218)(50000,100000)	JASDQU010106466.1	75000	288	0.044187
(598,1316)(120359,121315)(100000,150000)	JASDQU010106466.1	125000	720	0.185786
(1317,1583)(185908,186190)(150000,200000)	JASDQU010106466.1	175000	268	0.199996
(279,402)(107537,107672)(100000,150000)	JASDQU010106475.1	125000	125	0.015508
(1062,2011)(132556,133599)(100000,150000)	JASDQU010106495.1	125000	951	0.138124
(1186,6443)(50000,56370)(50000,100000)	JASDQU010106513.1	75000	5259	0.481093
(149,874)(324741,331024)(300000,350000)	JASDQU010106518.1	325000	727	0.366530
(1541,2054)(54558,55071)(50000,100000)	JASDQU010106522.1	75000	515	0.559529
(772,1491)(70340,71265)(50000,100000)	JASDQU010106523.1	75000	721	0.218039
(88,128)(69394,69523)(50000,100000)	JASDQU010106536.1	75000	42	0.667774
(77,2041)(109777,134247)(100000,150000)	JASDQU010106539.1	125000	1966	0.366759
(1196,2053)(221598,222483)(200000,250000)	JASDQU010106547.1	225000	859	0.375274
(1188,2099)(153792,154764)(150000,200000)	JASDQU010106558.1	175000	913	0.226326
(1968,2063)(117261,123202)(100000,150000)	JASDQU010106565.1	125000	97	0.023725
(130,4020)(55248,60255)(50000,100000)	JASDQU010106570.1	75000	3892	0.193918
(3189,3250)(55012,55088)(50000,100000)	JASDQU010106587.1	75000	63	0.008212
(646,653)(100000,100009)(100000,150000)	JASDQU010106632.1	125000	9	0.036000
(2155,3042)(337718,338610)(300000,350000)	JASDQU010106661.1	325000	889	0.043821
(3602,3823)(112442,112786)(100000,150000)	JASDQU010106678.1	125000	223	0.596341
(1374,1966)(50000,50596)(50000,100000)	JASDQU010106681.1	75000	594	0.475076
(2726,2821)(88149,88260)(50000,100000)	JASDQU010106701.1	75000	97	0.085224
(142,412)(275529,275833)(250000,300000)	JASDQU010106704.1	275000	272	0.518617
(132,190)(161353,161476)(150000,200000)	JASDQU010106780.1	175000	60	0.026562
(745,909)(100000,100168)(100000,150000)	JASDQU010106784.1	125000	166	0.131200
(1567,2163)(66947,68704)(50000,100000)	JASDQU010106828.1	75000	598	0.066589
(1251,2856)(113630,117604)(100000,150000)	JASDQU010106878.1	125000	1607	0.028089
(158,1377)(134955,136216)(100000,150000)	JASDQU010106887.1	125000	1221	0.234543
(601,1403)(52658,69635)(50000,100000)	JASDQU010106936.1	75000	804	0.170108
(1404,2296)(270619,271527)(250000,300000)	JASDQU010106936.1	275000	894	0.101123
(2274,2380)(226116,226233)(200000,250000)	JASDQU010106980.1	225000	108	0.038870
(362,1326)(109320,140420)(100000,150000)	JASDQU010106981.1	125000	966	0.178737
(1245,2546)(56796,75704)(50000,100000)	JASDQU010106993.1	75000	1303	0.399984
(180,486)(50892,51219)(50000,100000)	JASDQU010107036.1	75000	308	0.367236
(613,759)(178794,178944)(150000,200000)	JASDQU010107073.1	175000	148	0.045307
(326,564)(60747,61078)(50000,100000)	JASDQU010107139.1	75000	240	0.056461
(322,881)(205357,205956)(200000,250000)	JASDQU010107148.1	225000	561	0.137691
(882,938)(341576,341633)(300000,350000)	JASDQU010107148.1	325000	58	0.062916
(782,4092)(50000,92688)(50000,100000)	JASDQU010107151.1	75000	3312	0.617888
(617,877)(161143,161430)(150000,200000)	JASDQU010107158.1	175000	262	0.497455
(795,1057)(97779,98491)(50000,100000)	JASDQU010107187.1	75000	264	0.276094
(409,904)(79897,80409)(50000,100000)	JASDQU010107188.1	75000	497	0.031689
(816,1414)(90019,90661)(50000,100000)	JASDQU010107242.1	75000	600	0.159675
(1147,1683)(61174,61750)(50000,100000)	JASDQU010107255.1	75000	538	0.347961
(418,2031)(188584,197821)(150000,200000)	JASDQU010107320.1	175000	1615	0.129797
(2580,2901)(58672,92987)(50000,100000)	JASDQU010107329.1	75000	323	-0.001813
(777,947)(123349,123555)(100000,150000)	JASDQU010107333.1	125000	172	0.006584
(9,107)(84395,84522)(50000,100000)	JASDQU010107340.1	75000	100	0.041764
(34,106)(219081,219177)(200000,250000)	JASDQU010107350.1	225000	74	0.023498
(716,787)(271273,271559)(250000,300000)	JASDQU010107355.1	275000	73	0.584254
(788,1461)(363044,387471)(350000,400000)	JASDQU010107355.1	375000	675	0.545079
(1909,4665)(119177,127968)(100000,150000)	JASDQU010107361.1	125000	2758	0.154012
(211,503)(125914,126220)(100000,150000)	JASDQU010107392.1	125000	294	0.025913
(673,1260)(100000,100593)(100000,150000)	JASDQU010107461.1	125000	589	0.270131
(2030,2193)(62673,63038)(50000,100000)	JASDQU010107484.1	75000	165	0.259719
(503,2871)(60286,84004)(50000,100000)	JASDQU010107496.1	75000	2370	0.119298
(2020,2471)(99471,99999)(50000,100000)	JASDQU010107497.1	75000	453	0.495625
(2313,3290)(63430,64416)(50000,100000)	JASDQU010107503.1	75000	979	0.415602
(3291,3498)(138580,138935)(100000,150000)	JASDQU010107503.1	125000	209	0.027166
(948,1800)(57758,58629)(50000,100000)	JASDQU010107507.1	75000	854	0.128356
(119,382)(187482,187774)(150000,200000)	JASDQU010107510.1	175000	265	0.020141
(438,640)(125313,125517)(100000,150000)	JASDQU010107513.1	125000	204	0.013696
(1233,1571)(155835,156242)(150000,200000)	JASDQU010107541.1	175000	340	0.087530
(99,99)(225032,225032)(200000,250000)	JASDQU010107546.1	225000	2	0.036398
(806,1737)(58930,69893)(50000,100000)	JASDQU010107549.1	75000	933	0.108085
(1738,2685)(240262,241223)(200000,250000)	JASDQU010107549.1	225000	949	0.473710
(37,558)(248092,249184)(200000,250000)	JASDQU010107575.1	225000	523	0.139571
(559,1446)(250184,268125)(250000,300000)	JASDQU010107575.1	275000	889	0.059209
(106,4449)(187701,195766)(150000,200000)	JASDQU010107579.1	175000	4345	0.175333
(421,1239)(137921,139999)(100000,150000)	JASDQU010107603.1	125000	820	0.759939
(1240,1549)(156262,156582)(150000,200000)	JASDQU010107603.1	175000	311	0.033369
(1550,1898)(227563,227942)(200000,250000)	JASDQU010107603.1	225000	350	0.017347
(1899,3952)(254869,283518)(250000,300000)	JASDQU010107603.1	275000	2055	0.269342
(447,550)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.089849
(2321,2321)(81014,81014)(50000,100000)	JASDQU010107633.1	75000	2	0.059632
(2322,2546)(122782,123057)(100000,150000)	JASDQU010107633.1	125000	226	0.077765
(110,313)(111747,111965)(100000,150000)	JASDQU010107665.1	125000	205	0.067448
(835,10887)(126248,145593)(100000,150000)	JASDQU010107682.1	125000	10054	0.580658
(2924,2997)(151741,194867)(150000,200000)	JASDQU010107804.1	175000	75	0.037047
(2998,3215)(200912,207923)(200000,250000)	JASDQU010107804.1	225000	219	0.051784
(343,508)(264955,265120)(250000,300000)	JASDQU010107820.1	275000	167	0.043933
(384,1403)(106877,107920)(100000,150000)	JASDQU010107839.1	125000	1021	0.340167
(524,1233)(64795,66036)(50000,100000)	JASDQU010107883.1	75000	711	0.063478
(278,390)(92698,92836)(50000,100000)	JASDQU010107884.1	75000	114	0.637676
(572,1350)(67242,68029)(50000,100000)	JASDQU010107903.1	75000	780	0.273571
(1677,2778)(66308,69632)(50000,100000)	JASDQU010107926.1	75000	1103	0.683772
(164,223)(50021,50091)(50000,100000)	JASDQU010107941.1	75000	61	0.095886
(1134,1232)(169186,169287)(150000,200000)	JASDQU010108008.1	175000	100	0.060336
(189,543)(52658,55939)(50000,100000)	JASDQU010108038.1	75000	356	-0.005174
(61,128)(78274,78358)(50000,100000)	JASDQU010108052.1	75000	69	0.023535
(15,3112)(80821,99145)(50000,100000)	JASDQU010108071.1	75000	3099	0.213902
(85,161)(190814,192063)(150000,200000)	JASDQU010108075.1	175000	78	-0.000939
(151,2091)(82967,86031)(50000,100000)	JASDQU010108077.1	75000	1942	0.295979
(249,934)(200036,201055)(200000,250000)	JASDQU010108087.1	225000	687	0.327636
(403,832)(93687,94268)(50000,100000)	JASDQU010108112.1	75000	431	0.047499
(525,617)(153391,153489)(150000,200000)	JASDQU010108127.1	175000	94	0.054768
(312,1899)(63042,96476)(50000,100000)	JASDQU010108138.1	75000	1589	0.112553
(463,2236)(81496,84137)(50000,100000)	JASDQU010108151.1	75000	1775	0.073527
(3968,4784)(83650,84476)(50000,100000)	JASDQU010108156.1	75000	818	0.669953
(1395,2285)(113661,114579)(100000,150000)	JASDQU010108173.1	125000	892	0.181094
(238,636)(88082,88629)(50000,100000)	JASDQU010108195.1	75000	400	0.089171
(1438,1731)(114052,114481)(100000,150000)	JASDQU010108224.1	125000	295	0.052960
(1732,2189)(165609,166261)(150000,200000)	JASDQU010108224.1	175000	459	-0.014853
(95,128)(226130,226328)(200000,250000)	JASDQU010108254.1	225000	35	0.189680
(1074,2014)(285117,286070)(250000,300000)	JASDQU010108277.1	275000	942	0.435693
(1093,1228)(85877,86025)(50000,100000)	JASDQU010108282.1	75000	137	0.235414
(481,1190)(101037,101763)(100000,150000)	JASDQU010108286.1	125000	711	0.161266
(214,395)(56507,56689)(50000,100000)	JASDQU010108287.1	75000	183	0.276531
(396,875)(158090,158586)(150000,200000)	JASDQU010108287.1	175000	481	0.759582
(411,828)(127942,129830)(100000,150000)	JASDQU010108312.1	125000	419	0.015574
(477,1034)(131995,132570)(100000,150000)	JASDQU010108330.1	125000	559	0.091997
(64,473)(110031,123641)(100000,150000)	JASDQU010108365.1	125000	411	0.203482
(352,1510)(100236,149999)(100000,150000)	JASDQU010108386.1	125000	1160	0.052998
(144,568)(134398,134845)(100000,150000)	JASDQU010108391.1	125000	426	0.078567
(533,567)(71050,71102)(50000,100000)	JASDQU010108451.1	75000	36	-0.024699
(805,1014)(315121,315348)(300000,350000)	JASDQU010108455.1	325000	211	0.078505
(193,530)(59245,59596)(50000,100000)	JASDQU010108491.1	75000	339	0.034014
(531,1193)(343413,344092)(300000,350000)	JASDQU010108491.1	325000	664	0.020514
(1937,2410)(80005,80578)(50000,100000)	JASDQU010108501.1	75000	475	0.009621
(2411,2509)(140885,140998)(100000,150000)	JASDQU010108501.1	125000	100	0.408658
(147,515)(74321,74771)(50000,100000)	JASDQU010108508.1	75000	370	0.157879
(1112,3135)(66661,68984)(50000,100000)	JASDQU010108575.1	75000	2025	0.572785
(358,541)(82929,83191)(50000,100000)	JASDQU010108591.1	75000	185	0.070044
(777,2227)(257917,279796)(250000,300000)	JASDQU010108604.1	275000	1452	0.514165
(2238,2596)(69868,70296)(50000,100000)	JASDQU010108623.1	75000	360	0.769059
(746,921)(103562,126980)(100000,150000)	JASDQU010108665.1	125000	177	0.011125
(922,3313)(165031,168991)(150000,200000)	JASDQU010108665.1	175000	2393	0.086831
(438,749)(132725,136279)(100000,150000)	JASDQU010108668.1	125000	313	0.646623
(1155,1485)(181041,181561)(150000,200000)	JASDQU010108700.1	175000	332	0.027205
(1544,2271)(225270,227128)(200000,250000)	JASDQU010108710.1	225000	729	0.252789
(15,1097)(79607,80707)(50000,100000)	JASDQU010108752.1	75000	1084	0.410266
(2175,2681)(197490,197998)(150000,200000)	JASDQU010108754.1	175000	508	0.005345
(331,800)(166664,167186)(150000,200000)	JASDQU010108758.1	175000	471	0.291490
(57,990)(198871,199808)(150000,200000)	JASDQU010108781.1	175000	935	0.035133
(2712,3771)(83669,89268)(50000,100000)	JASDQU010108820.1	75000	1061	0.019590
(110,154)(84928,84992)(50000,100000)	JASDQU010108849.1	75000	46	0.047930
(933,1008)(57620,57755)(50000,100000)	JASDQU010108896.1	75000	77	0.013889
(664,2916)(65666,68467)(50000,100000)	JASDQU010108900.1	75000	2254	0.275264
(1001,1229)(84010,84251)(50000,100000)	JASDQU010108918.1	75000	230	-0.002948
(21,458)(335938,336413)(300000,350000)	JASDQU010108925.1	325000	439	0.046657
(1212,2336)(250000,251332)(250000,300000)	JASDQU010108936.1	275000	1126	0.207117
(382,709)(65988,66326)(50000,100000)	JASDQU010108945.1	75000	329	0.044038
(1098,1730)(123259,124007)(100000,150000)	JASDQU010109025.1	125000	634	0.104638
(1,166)(164505,188669)(150000,200000)	JASDQU010109075.1	175000	167	0.054070
(1728,1888)(171293,171462)(150000,200000)	JASDQU010109088.1	175000	162	0.020099
(149,1041)(55333,95332)(50000,100000)	JASDQU010109100.1	75000	894	0.066079
(781,1791)(203442,204456)(200000,250000)	JASDQU010109150.1	225000	1012	0.302525
(570,2436)(100007,116322)(100000,150000)	JASDQU010109171.1	125000	1868	0.414628
(1697,2886)(150047,181049)(150000,200000)	JASDQU010109179.1	175000	1191	0.072874
(74,222)(102909,103063)(100000,150000)	JASDQU010109226.1	125000	150	0.016927
(2408,3612)(50000,51208)(50000,100000)	JASDQU010109237.1	75000	1206	0.053761
(935,995)(92631,92847)(50000,100000)	JASDQU010109259.1	75000	62	0.451301
(897,3672)(52877,57624)(50000,100000)	JASDQU010109285.1	75000	2777	0.399586
(1900,1929)(148724,148783)(100000,150000)	JASDQU010109298.1	125000	31	0.046861
(284,3529)(120643,127255)(100000,150000)	JASDQU010109345.1	125000	3247	0.318769
(162,436)(76693,77199)(50000,100000)	JASDQU010109351.1	75000	276	0.211552
(362,378)(119727,119752)(100000,150000)	JASDQU010109375.1	125000	18	0.031675
(277,429)(109361,109514)(100000,150000)	JASDQU010109385.1	125000	154	0.068543
(2965,5487)(115289,139271)(100000,150000)	JASDQU010109394.1	125000	2524	0.585524
(5488,6919)(159273,186884)(150000,200000)	JASDQU010109394.1	175000	1433	0.615571
(58,3691)(88183,95849)(50000,100000)	JASDQU010109408.1	75000	3635	0.351108
(929,1621)(65051,99999)(50000,100000)	JASDQU010109438.1	75000	694	0.116141
(2554,2631)(50249,50377)(50000,100000)	JASDQU010109452.1	75000	79	0.129531
(275,1220)(50000,55987)(50000,100000)	JASDQU010109471.1	75000	947	0.039032
(1184,3080)(133618,136962)(100000,150000)	JASDQU010109472.1	125000	1898	0.263316
(27,268)(89076,89340)(50000,100000)	JASDQU010109475.1	75000	243	0.211564
(269,2182)(101053,107184)(100000,150000)	JASDQU010109475.1	125000	1915	0.123661
(248,397)(165881,166392)(150000,200000)	JASDQU010109483.1	175000	151	0.046805
(1031,2785)(50603,80674)(50000,100000)	JASDQU010109506.1	75000	1756	0.096533
(2204,2556)(82365,82741)(50000,100000)	JASDQU010109514.1	75000	354	0.489776
(1426,4228)(101214,105480)(100000,150000)	JASDQU010109516.1	125000	2804	0.586147
(1784,1892)(110697,110810)(100000,150000)	JASDQU010109521.1	125000	110	0.495504
(245,1047)(77936,83118)(50000,100000)	JASDQU010109530.1	75000	804	0.064069
(6,822)(100000,102802)(100000,150000)	JASDQU010109551.1	125000	818	0.345186
(21,2707)(109058,127095)(100000,150000)	JASDQU010109553.1	125000	2688	0.197322
(16,882)(127944,134110)(100000,150000)	JASDQU010109555.1	125000	868	0.122236
(166,168)(90716,90718)(50000,100000)	JASDQU010109556.1	75000	4	0.035032
(78,332)(78458,78745)(50000,100000)	JASDQU010109572.1	75000	256	0.065868
(1014,2334)(61414,86887)(50000,100000)	JASDQU010109603.1	75000	1322	0.051615
(444,1167)(147513,149846)(100000,150000)	JASDQU010109609.1	125000	725	0.225209
(1074,1695)(96476,97233)(50000,100000)	JASDQU010109656.1	75000	623	0.021501
(224,796)(217571,219409)(200000,250000)	JASDQU010109682.1	225000	574	0.241236
(136,852)(132540,133266)(100000,150000)	JASDQU010109692.1	125000	718	0.241059
(2337,2929)(50000,96362)(50000,100000)	JASDQU010171966.1	75000	594	0.254595
(4,318)(129002,129708)(100000,150000)	JASDQU010190231.1	125000	316	0.152823
(6466,6674)(100938,101147)(100000,150000)	JASDQU010193117.1	125000	210	0.239933
(1217,1595)(50913,51291)(50000,100000)	JASDQU010197169.1	75000	380	0.526680
(315,1297)(77884,82432)(50000,100000)	JASDQU010201083.1	75000	984	0.008266
(1298,2935)(302127,303894)(300000,350000)	JASDQU010201083.1	325000	1639	0.086889
(2936,3547)(487306,487979)(450000,500000)	JASDQU010201083.1	475000	613	-0.008459
(3548,3797)(503232,503691)(500000,550000)	JASDQU010201083.1	525000	251	0.027834
(173,838)(52395,53133)(50000,100000)	JASDQU010205369.1	75000	667	0.139861
(173,181)(54814,54916)(50000,100000)	JASDQU010205628.1	75000	10	0.030248
(2153,2636)(120029,120535)(100000,150000)	JASDQU010206108.1	125000	485	0.373238
(1037,1280)(55297,55607)(50000,100000)	JASDQU010206420.1	75000	245	0.133124
(193,1449)(194105,196436)(150000,200000)	JASDQU010207124.1	175000	1258	0.294294
(3766,4018)(58039,58324)(50000,100000)	JASDQU010209131.1	75000	254	0.753503
(330,1117)(61988,62784)(50000,100000)	JASDQU010212495.1	75000	789	0.117213
(90,171)(209481,209612)(200000,250000)	JASDQU010215340.1	225000	83	0.045194
(172,722)(251353,251929)(250000,300000)	JASDQU010215340.1	275000	552	0.068317
(546,1431)(53704,54598)(50000,100000)	JASDQU010239443.1	75000	887	0.247812
(277,413)(219038,219188)(200000,250000)	JASDQU010240418.1	225000	138	0.109059
(261,1239)(65052,66094)(50000,100000)	JASDQU010240421.1	75000	980	0.121601
(656,1570)(210860,245850)(200000,250000)	JASDQU010240455.1	225000	916	0.090245
(53,518)(87213,87679)(50000,100000)	JASDQU010240465.1	75000	467	0.267903
(2441,3865)(150000,151451)(150000,200000)	JASDQU010240480.1	175000	1426	0.320405
(66,843)(56199,59228)(50000,100000)	JASDQU010240492.1	75000	779	0.285323
(578,850)(110745,111163)(100000,150000)	JASDQU010240514.1	125000	274	0.042522
(63,2344)(82697,84984)(50000,100000)	JASDQU010240543.1	75000	2283	0.213545
(168,274)(100955,136318)(100000,150000)	JASDQU010240556.1	125000	108	0.203687
(1886,7304)(81998,87997)(50000,100000)	JASDQU010240571.1	75000	5420	0.179025
(7305,7577)(160704,183541)(150000,200000)	JASDQU010240571.1	175000	274	-0.005485
(7578,7581)(233724,233789)(200000,250000)	JASDQU010240571.1	225000	5	0.032948
(277,757)(57795,97363)(50000,100000)	JASDQU010240616.1	75000	482	0.224300
(3546,8158)(50000,86486)(50000,100000)	JASDQU010240623.1	75000	4614	0.657927
(3378,4922)(113584,115142)(100000,150000)	JASDQU010240624.1	125000	1546	0.117546
(1093,1633)(113984,114531)(100000,150000)	JASDQU010240652.1	125000	542	0.078707
(281,898)(201949,202571)(200000,250000)	JASDQU010240674.1	225000	619	0.192281
(1712,2515)(151450,191226)(150000,200000)	JASDQU010240697.1	175000	805	0.034062
(6264,7180)(50000,51090)(50000,100000)	JASDQU010240714.1	75000	918	0.238887
(1442,2263)(101852,102677)(100000,150000)	JASDQU010240716.1	125000	823	0.423823
(1091,3815)(83685,93784)(50000,100000)	JASDQU010240744.1	75000	2726	0.083003
(249,911)(172011,191993)(150000,200000)	JASDQU010240758.1	175000	664	0.027778
(512,1867)(104521,112420)(100000,150000)	JASDQU010240767.1	125000	1357	0.087253
(727,1564)(188197,189035)(150000,200000)	JASDQU010240781.1	175000	839	0.283565
(8,351)(90986,91378)(50000,100000)	JASDQU010240829.1	75000	345	0.470615
(1723,1740)(142840,142874)(100000,150000)	JASDQU010240835.1	125000	19	0.033561
(771,1128)(72445,72839)(50000,100000)	JASDQU010240846.1	75000	359	0.030766
(489,614)(62074,62206)(50000,100000)	JASDQU010240868.1	75000	127	0.125382
(1442,2994)(53177,55433)(50000,100000)	JASDQU010240888.1	75000	1554	0.537782
(3287,4880)(109777,140181)(100000,150000)	JASDQU010240926.1	125000	1595	0.224190
(5072,5306)(198891,199125)(150000,200000)	JASDQU010240935.1	175000	236	0.002205
(1891,3004)(50003,52890)(50000,100000)	JASDQU010240943.1	75000	1115	0.427901
(3005,3930)(247744,249999)(200000,250000)	JASDQU010240943.1	225000	927	0.600997
(204,898)(77756,78515)(50000,100000)	JASDQU010240968.1	75000	696	0.185195
(905,4331)(117846,125082)(100000,150000)	JASDQU010240973.1	125000	3428	0.251166
(914,1204)(92078,92382)(50000,100000)	JASDQU010240974.1	75000	292	0.664027
(325,4072)(119491,124826)(100000,150000)	JASDQU010241029.1	125000	3749	0.353560
(223,3063)(158070,160939)(150000,200000)	JASDQU010241056.1	175000	2842	0.719481
(665,1231)(139851,140457)(100000,150000)	JASDQU010241097.1	125000	568	0.140555
(133,3121)(86213,90421)(50000,100000)	JASDQU010241109.1	75000	2990	0.134342
(347,901)(50000,50555)(50000,100000)	JASDQU010241112.1	75000	556	0.308186
(227,1394)(252436,255926)(250000,300000)	JASDQU010241141.1	275000	1169	0.565144
(8,250)(99212,99626)(50000,100000)	JASDQU010241144.1	75000	244	0.114238
(642,785)(193861,198918)(150000,200000)	JASDQU010241145.1	175000	145	0.024719
(352,429)(80767,80883)(50000,100000)	JASDQU010241176.1	75000	79	0.032245
(897,1219)(109779,110111)(100000,150000)	JASDQU010241242.1	125000	324	0.438185
(673,763)(55923,56024)(50000,100000)	JASDQU010241249.1	75000	92	0.100102
(3806,9057)(87203,94393)(50000,100000)	JASDQU010241290.1	75000	5253	0.258840
(9058,10043)(105382,147584)(100000,150000)	JASDQU010241290.1	125000	987	0.238113
(10044,10652)(176540,177171)(150000,200000)	JASDQU010241290.1	175000	610	0.431593
(684,1007)(68611,68984)(50000,100000)	JASDQU010241301.1	75000	325	0.256537
(367,1219)(109980,114608)(100000,150000)	JASDQU010241330.1	125000	854	0.111473
(823,1443)(119696,139897)(100000,150000)	JASDQU010241345.1	125000	622	0.059555
(126,655)(145689,146237)(100000,150000)	JASDQU010241349.1	125000	531	0.153827
(3247,11875)(51530,79468)(50000,100000)	JASDQU010241366.1	75000	8630	0.319162
(747,1225)(106785,107273)(100000,150000)	JASDQU010241445.1	125000	480	0.052308
(530,1043)(197295,198096)(150000,200000)	JASDQU010241489.1	175000	515	0.567507
(345,916)(68527,96867)(50000,100000)	JASDQU010241596.1	75000	573	0.037383
(689,1183)(50000,51933)(50000,100000)	JASDQU010241599.1	75000	496	0.032843
(19,663)(57540,58184)(50000,100000)	JASDQU010241603.1	75000	646	0.249436
(949,1675)(172016,172780)(150000,200000)	JASDQU010241624.1	175000	728	0.016587
(706,947)(131242,131543)(100000,150000)	JASDQU010241677.1	125000	243	0.110373
(507,658)(68717,68869)(50000,100000)	JASDQU010241678.1	75000	153	0.042942
(4851,6877)(69051,87794)(50000,100000)	JASDQU010241681.1	75000	2028	0.281664
(11,262)(76193,76713)(50000,100000)	JASDQU010241697.1	75000	253	0.015021
(415,3196)(73693,79468)(50000,100000)	JASDQU010241714.1	75000	2783	0.424684
(953,1912)(112351,141161)(100000,150000)	JASDQU010241723.1	125000	961	0.293363
(1155,1723)(250000,259836)(250000,300000)	JASDQU010241738.1	275000	570	0.314318
(91,273)(122691,122892)(100000,150000)	JASDQU010241756.1	125000	184	0.050272
(162,257)(213265,213362)(200000,250000)	JASDQU010241757.1	225000	97	0.084781
(129,772)(115876,123547)(100000,150000)	JASDQU010241761.1	125000	645	0.210405
(1634,2591)(89069,90065)(50000,100000)	JASDQU010241796.1	75000	959	0.456098
(204,1624)(65230,66663)(50000,100000)	JASDQU010241817.1	75000	1422	0.449664
(1436,1539)(154697,155008)(150000,200000)	JASDQU010241819.1	175000	105	0.022533
(705,1218)(178224,178738)(150000,200000)	JASDQU010241821.1	175000	515	0.139284
(5442,5834)(118478,118904)(100000,150000)	JASDQU010241830.1	125000	394	0.171430
(419,1100)(245550,246232)(200000,250000)	JASDQU010241850.1	225000	683	-0.018917
(52,2828)(80583,87923)(50000,100000)	JASDQU010241919.1	75000	2778	0.246607
(446,1112)(80189,80916)(50000,100000)	JASDQU010241978.1	75000	668	-0.006957
